timestamp,iteration,run_mode,frequency_combination,frequencies,frequency_index,num_cores,cores_str,input_arg,application_id,benchmark,variant,time_elapsed,total_energy_consumption,branch_misses,cache_misses,core_combination,platform,avg_temp_before,avg_temp_after,thermal_zone_before0,thermal_zone_before1,thermal_zone_before2,thermal_zone_before3,thermal_zone_before4,thermal_zone_before5,thermal_zone_before6,thermal_zone_before7,frequencies_read,cores,energy_system_j,power_system_w,energy_main_j,power_main_w,energy_cpu_j,power_cpu_w,energy_denver_j,power_denver_w,energy_gpu_j,power_gpu_w,energy_ddr_j,power_ddr_w,thermal_zone0,thermal_zone0_type,thermal_zone1,thermal_zone1_type,thermal_zone2,thermal_zone2_type,thermal_zone3,thermal_zone3_type,thermal_zone4,thermal_zone4_type,thermal_zone5,thermal_zone5_type,thermal_zone6,thermal_zone6_type,thermal_zone7,thermal_zone7_type,cycles,cache_references,context_switches,minor_faults,major_faults,instructions,page_faults
1759359899.2657325,1,sequential,"[0, 0, 0, 0, 0, 0]","[345600, 345600, 345600, 345600, 345600, 345600]",0,1,1,508,11,strassen,bin-omp-tasks,1.081716011,0.012665093469142914,2307694,805290,1,JetsonTX2,43.5,43.63125,43.5,43.5,43.0,43.5,40.0,41.0,50.0,43.5,"[345600, 345600, 345600, 345600, 345600, 345600]",1,0.004847736603498459,0.003085,0.004847736820936203,0.003085,0.0005743703002929687,0.000376,0.0017643580133914947,0.001155,0.0002291374325752258,0.00015,0.00040175429844856256,0.000263,43.5,BCPU-therm,43.5,MCPU-therm,43.5,GPU-therm,43.5,PLL-therm,40.0,Tboard_tegra,41.25,Tdiode_tegra,50.0,PMIC-Die,43.8,thermal-fan-est,312197735,64400445,26,6477,0,71686265,6477
1759359963.652843,1,sequential,"[0, 0, 0, 0, 0, 0]","[345600, 345600, 345600, 345600, 345600, 345600]",0,1,1,small.input,12,uts,bin-omp-tasks,62.881794167,0.552726062926054,27454657,14510470,1,JetsonTX2,43.5,43.6625,43.5,43.5,43.0,43.5,40.0,41.0,50.0,43.5,"[345600, 345600, 345600, 345600, 345600, 345600]",1,0.212629876966238,0.003162,0.21266744037294386,0.0032,0.029872352421998975,0.000301,0.07156130269408227,0.001155,0.009441316151618955,0.00015,0.016553774319171904,0.000263,43.5,BCPU-therm,43.5,MCPU-therm,43.5,GPU-therm,43.5,PLL-therm,40.0,Tboard_tegra,41.5,Tdiode_tegra,50.0,PMIC-Die,43.8,thermal-fan-est,20534021261,7792169475,53,6985,0,58235315792,6985
1759359972.5599358,1,sequential,"[0, 0, 0, 0, 0, 0]","[345600, 345600, 345600, 345600, 345600, 345600]",0,1,1,MINI_DATASET,13,gemm,no-variation,0.120820036,0.06985784943175316,130591,550313,1,JetsonTX2,43.5,43.9125,43.5,43.5,43.0,43.5,40.0,41.0,50.0,43.5,"[345600, 345600, 345600, 345600, 345600, 345600]",1,0.027100842236757273,0.003501,0.027100842236757273,0.003501,0.0034731401798725136,0.000451,0.009037091975927353,0.001194,0.0011425906062126159,0.00015,0.00200334219622612,0.000263,44.0,BCPU-therm,44.0,MCPU-therm,44.0,GPU-therm,44.0,PLL-therm,40.0,Tboard_tegra,41.5,Tdiode_tegra,50.0,PMIC-Die,43.8,thermal-fan-est,33311102,5544731,0,597,0,22975987,597
1759359980.4463682,1,sequential,"[0, 0, 0, 0, 0, 0]","[345600, 345600, 345600, 345600, 345600, 345600]",0,1,1,MINI_DATASET,14,gemver,no-variation,0.11827155,0.059834344760894775,120131,550614,1,JetsonTX2,43.5,43.85,43.5,43.5,43.0,43.5,40.0,41.0,50.0,43.5,"[345600, 345600, 345600, 345600, 345600, 345600]",1,0.023208320226669313,0.003537,0.023208320226669313,0.003537,0.0029020629315376287,0.000451,0.007788011802434922,0.001194,0.0009906644940376281,0.00015,0.0017369650795459744,0.000263,44.0,BCPU-therm,44.0,MCPU-therm,43.5,GPU-therm,44.0,PLL-therm,40.0,Tboard_tegra,41.5,Tdiode_tegra,50.0,PMIC-Die,43.8,thermal-fan-est,33053983,5528471,0,606,0,22951832,606
1759359987.3064148,1,sequential,"[0, 0, 0, 0, 0, 0]","[345600, 345600, 345600, 345600, 345600, 345600]",0,1,1,MINI_DATASET,15,gesummv,no-variation,0.120505148,0.05018446413874626,134423,550645,1,JetsonTX2,43.5,43.85,43.5,43.5,43.0,43.5,40.0,41.0,50.0,43.5,"[345600, 345600, 345600, 345600, 345600, 345600]",1,0.019465537949085236,0.003575,0.019465537949085236,0.003575,0.0023681547014713284,0.000526,0.0065766420526504514,0.001213,0.0008384714841842651,0.00015,0.0014701200022697446,0.000263,44.0,BCPU-therm,44.0,MCPU-therm,43.5,GPU-therm,44.0,PLL-therm,40.0,Tboard_tegra,41.5,Tdiode_tegra,50.0,PMIC-Die,43.8,thermal-fan-est,33232314,5500159,0,601,0,22914569,601
1759359994.6932027,1,sequential,"[0, 0, 0, 0, 0, 0]","[345600, 345600, 345600, 345600, 345600, 345600]",0,1,1,MINI_DATASET,16,symm,no-variation,0.117978358,0.05217391533637047,121687,550389,1,JetsonTX2,43.5,43.9125,43.5,43.5,43.0,43.5,40.0,41.0,50.0,43.5,"[345600, 345600, 345600, 345600, 345600, 345600]",1,0.01997887112736702,0.003388,0.019998151223421096,0.003388,0.0025200928914546963,0.000451,0.007159541745662689,0.001194,0.0009142584800720215,0.00015,0.0016029998683929443,0.000263,44.0,BCPU-therm,44.0,MCPU-therm,44.0,GPU-therm,44.0,PLL-therm,40.0,Tboard_tegra,41.5,Tdiode_tegra,50.0,PMIC-Die,43.8,thermal-fan-est,32507595,5417721,0,601,0,22941686,601
1759360003.1795175,1,sequential,"[0, 0, 0, 0, 0, 0]","[345600, 345600, 345600, 345600, 345600, 345600]",0,1,1,MINI_DATASET,17,syr2k,no-variation,0.117250354,0.06417076317811013,116233,550349,1,JetsonTX2,43.5,43.88125,43.5,43.5,43.0,43.5,40.0,41.0,50.0,43.5,"[345600, 345600, 345600, 345600, 345600, 345600]",1,0.02460340889644623,0.003462,0.024603409132003786,0.003462,0.003400452662467956,0.000451,0.008624056533813476,0.001213,0.0010675917506217955,0.00015,0.0018718442027568817,0.000263,44.0,BCPU-therm,44.0,MCPU-therm,43.5,GPU-therm,44.0,PLL-therm,40.0,Tboard_tegra,41.75,Tdiode_tegra,50.0,PMIC-Die,43.8,thermal-fan-est,32293501,5395923,0,601,0,23019539,601
1759360010.5640173,1,sequential,"[0, 0, 0, 0, 0, 0]","[345600, 345600, 345600, 345600, 345600, 345600]",0,1,1,MINI_DATASET,18,syrk,no-variation,0.115974637,0.053888885303497315,123881,550964,1,JetsonTX2,43.5,43.875,43.5,43.5,43.0,43.5,40.0,41.0,50.0,43.5,"[345600, 345600, 345600, 345600, 345600, 345600]",1,0.02070432619524002,0.003537,0.02070432619524002,0.003537,0.0027112326810359954,0.000451,0.007251034497499465,0.001194,0.0009145153999328611,0.00015,0.0016034503345489501,0.000263,44.0,BCPU-therm,44.0,MCPU-therm,43.5,GPU-therm,44.0,PLL-therm,40.0,Tboard_tegra,41.5,Tdiode_tegra,50.0,PMIC-Die,44.0,thermal-fan-est,32027671,5295426,0,595,0,22948944,595
1759360017.4538338,1,sequential,"[0, 0, 0, 0, 0, 0]","[345600, 345600, 345600, 345600, 345600, 345600]",0,1,1,MINI_DATASET,19,trmm,no-variation,0.118115373,0.051293380168437964,129941,549809,1,JetsonTX2,43.5,43.875,43.5,43.5,43.0,43.5,40.0,41.0,50.0,43.5,"[345600, 345600, 345600, 345600, 345600, 345600]",1,0.019900262498378757,0.003499,0.019900262498378757,0.003499,0.00248461523604393,0.000451,0.006698118667840959,0.001194,0.0008390270948410032,0.00015,0.0014710941729545591,0.000263,44.0,BCPU-therm,44.0,MCPU-therm,43.5,GPU-therm,44.0,PLL-therm,40.0,Tboard_tegra,41.5,Tdiode_tegra,50.0,PMIC-Die,44.0,thermal-fan-est,32904688,5479613,0,597,0,22929640,597
1759360024.8860478,1,sequential,"[0, 0, 0, 0, 0, 0]","[345600, 345600, 345600, 345600, 345600, 345600]",0,1,1,MINI_DATASET,20,2mm,no-variation,0.11846225,0.052129820562362664,122503,551466,1,JetsonTX2,43.5,44.0375,43.5,43.5,43.0,43.5,40.0,41.0,50.0,43.5,"[345600, 345600, 345600, 345600, 345600, 345600]",1,0.01998278305840492,0.003386,0.01998278305840492,0.003386,0.0025194215209484103,0.000451,0.007128360637187958,0.001175,0.0009139729857444763,0.00015,0.0016024993016719822,0.000263,44.5,BCPU-therm,44.5,MCPU-therm,43.5,GPU-therm,44.5,PLL-therm,40.0,Tboard_tegra,41.5,Tdiode_tegra,50.0,PMIC-Die,43.8,thermal-fan-est,33125622,5547529,0,598,0,22996881,598
